Time Stamp,ID,Extended,Dir,Bus,LEN,D0,D1,D2,D3,D4,D5,D6,D7
1743890401.893,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,05,05
1743890401.894,00000102,0,Rx,0,8,00,00,18,63,58,CE,07,EA
1743890401.895,00000103,0,Rx,0,8,03,00,02,00,00,00,08,09
1743890401.896,00000110,0,Rx,0,8,00,00,00,2A,01,01,05,2F
1743890401.897,00000316,0,Rx,0,8,12,91,01,34,5D,00,00,00
1743890401.898,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0C,09
1743890401.899,00000231,0,Rx,0,8,00,05,00,00,00,00,00,05
1743890401.900,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.901,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0E,0B
1743890401.902,00000231,0,Rx,0,8,00,05,00,00,00,00,02,07
